Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,703.4500122070312,710.5,695.7750244140625,706.375,653.5694580078125,510200
2017-01-03,708.4500122070312,710.6500244140625,697.8499755859375,701.1749877929688,648.7582397460938,540568
2017-01-04,701.9500122070312,720.75,701.9500122070312,709.6500244140625,656.5997314453125,962940
2017-01-05,716.75,729.5,712.5,716.5499877929688,662.98388671875,986338
2017-01-06,716.5,720.7249755859375,692.5,696.0750122070312,644.0394897460938,885408
2017-01-09,695.0750122070312,699.4000244140625,686.0999755859375,693.9500122070312,642.0734252929688,343776
2017-01-10,699.2000122070312,712.4749755859375,698.5250244140625,705.5250244140625,652.7830810546875,631708
2017-01-11,707.0750122070312,709.5,695.0,699.6500244140625,647.3472290039062,366560
2017-01-12,700.0,710.7999877929688,697.0,702.7249755859375,650.1923217773438,450288
2017-01-13,711.0,718.375,694.5499877929688,699.8499755859375,647.5322265625,646322
2017-01-16,695.0,710.5,690.0250244140625,707.4749755859375,654.5872802734375,422874
2017-01-17,710.0,722.0,706.7750244140625,711.5499877929688,658.357666015625,711454
2017-01-18,726.5,760.8499755859375,721.0499877929688,757.4749755859375,700.8494262695312,4931634
2017-01-19,762.7999877929688,777.5,759.0999755859375,761.375,704.4578857421875,2419762
2017-01-20,762.4000244140625,762.4000244140625,733.6500244140625,741.2249755859375,685.8142700195312,1050030
2017-01-23,742.5,749.5,728.4000244140625,744.4749755859375,688.8212890625,719482
2017-01-24,745.5,758.0,742.5,751.5750122070312,695.3905639648438,512038
2017-01-25,762.5499877929688,766.5,728.7999877929688,732.375,677.6259765625,2247448
2017-01-27,734.4000244140625,745.2000122070312,733.0,736.0,680.9797973632812,580684
2017-01-30,734.0,736.1749877929688,723.5,729.25,674.7345581054688,498206
2017-01-31,729.0,729.0,701.5,711.6749877929688,658.4733276367188,736740
2017-02-01,705.0499877929688,733.5,697.0250244140625,725.1500244140625,670.9409790039062,1193752
2017-02-02,724.0,740.75,714.0,735.0999755859375,680.1470947265625,789910
2017-02-03,736.0,743.4000244140625,731.0999755859375,737.3250122070312,682.2058715820312,413684
2017-02-06,742.5,742.5,727.5,734.2750244140625,679.3838500976562,345194
2017-02-07,734.2750244140625,734.2999877929688,721.5250244140625,726.5999755859375,672.2825927734375,400696
2017-02-08,724.8499755859375,753.4749755859375,722.6749877929688,747.8499755859375,691.9440307617188,1533174
2017-02-09,752.9500122070312,759.25,741.6500244140625,750.5250244140625,694.4191284179688,888816
2017-02-10,754.6500244140625,754.6749877929688,742.625,745.8250122070312,690.0703125,397040
2017-02-13,750.5,754.0,735.5999755859375,747.25,691.3888549804688,445182
2017-02-14,748.0,748.8499755859375,735.0499877929688,739.4500122070312,684.1719970703125,377830
2017-02-15,735.5,739.9500122070312,713.1749877929688,716.5999755859375,663.0302124023438,512918
2017-02-16,717.5,737.25,715.5499877929688,732.9000244140625,678.1116333007812,845898
2017-02-17,735.0,737.5,725.0,729.5499877929688,675.0120849609375,294992
2017-02-20,727.5,740.5,727.5,735.75,680.7485961914062,424962
2017-02-21,739.0,755.9000244140625,736.0,748.375,692.4298095703125,1012742
2017-02-22,752.4000244140625,759.0,737.0250244140625,742.7000122070312,687.1790161132812,679456
2017-02-23,738.1500244140625,748.2750244140625,733.125,735.875,680.8642578125,402822
2017-02-27,738.8499755859375,766.5,736.0,753.9749755859375,697.6111450195312,1262494
2017-02-28,758.8499755859375,759.9749755859375,748.125,751.9000244140625,695.6913452148438,408298
2017-03-01,752.0,763.5,742.75,747.5499877929688,691.6664428710938,644726
2017-03-02,750.0,758.9749755859375,740.5,742.0250244140625,686.5545043945312,454312
2017-03-03,740.0,745.8250122070312,736.0,739.75,684.4495849609375,318160
2017-03-06,740.5750122070312,748.5,728.0,733.4000244140625,678.5742797851562,518400
2017-03-07,736.0999755859375,742.5,726.7000122070312,728.4249877929688,673.9711303710938,359386
2017-03-08,731.5,733.4000244140625,720.0750122070312,722.8250122070312,668.789794921875,286026
2017-03-09,721.4000244140625,731.0,720.2999877929688,723.75,669.6456298828125,318354
2017-03-10,725.5,730.5,713.0,716.5,662.9376831054688,272386
2017-03-14,742.5,742.5,721.5499877929688,724.125,669.9926147460938,293296
2017-03-15,723.0,729.0,716.0,717.9749755859375,664.30224609375,293920
